R2	-19.58	69.61	0.00	0	CPF0201D7K68C1_0201
R2-USB1	-6.27	90.95	0.00	5K1	CPF0201D7K68C1_0201
R2_EP_DR	-17.21	91.15	0.00	10K	CPF0201D7K68C1_0201
R3	-8.75	75.35	270.00	0	CPF0201D7K68C1_0201
R4	-18.09	69.35	0.00	0	CPF0201D7K68C1_0201
R5	-16.85	69.85	180.00	10K	CPF0201D7K68C1_0201
R7	5.71	69.35	180.00	10K	CPF0201D7K68C1_0201
R8	-6.77	69.55	180.00	10K	CPF0201D7K68C1_0201
R9	-27.56	71.37	180.00	10K	CPF0201D7K68C1_0201
R_PWR_EPD	-20.23	89.95	180.00	10k	CPF0201D7K68C1_0201
R_TYPE_SEL	-10.69	88.15	180.00	2.2	CPF0201D7K68C1_0201
SJ1	-11.11	89.87	0.00		ESP32_C6_LIBRARY_7_JUMPER_SJ
SW_DN	-16.74	67.40	180.00	2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN	2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_ENT	-5.86	67.45	180.00	2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN	2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_UP	5.19	67.40	180.00	2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN	2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
TP_3.3V	14.66	69.39	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_3V3	11.27	96.17	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_BAT_GND1	-10.19	66.99	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_GND	5.95	76.79	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_ON	6.57	97.19	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_OP	4.18	97.07	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_RESET	9.85	66.39	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_SCL	-16.01	72.97	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_SDA	-13.62	75.39	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_SWDCLK	5.71	73.39	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_SWDIO	10.28	69.39	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_SWO	6.54	80.09	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_VBAT1	-12.41	66.69	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_VREG	-21.29	66.31	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
U1	-1.66	78.45	0.00	NRF52840_QF	NORDIC_NRF_4_AQFN50P700X700X85_HS-74N
U3	-10.96	71.01	0.00	MAX17048G+T10	ESP32_C6_LIBRARY_SON50P200X200X80-9N
X1	3.59	84.02	0.00	32MHZ	NORDIC_NRF_BT-XTAL_2016_N
X2	-8.95	79.41	90.00	32.768kHZ	NORDIC_NRF_1_XTAL_3215_N
